Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.265,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.531,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.734,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.984,TraderOne,Tick,0,0,0,0,147600,,0,0,0,OK
1.203,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.468,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.765,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
2.015,TraderOne,Tick,0,0,0,0,147600,147000,0,0,0,OK
2.297,TraderOne,Tick,0,0,0,0,147600,146900,0,0,0,OK
2.515,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
2.812,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
2.968,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.265,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.453,TraderOne,Tick,0,0,0,0,147500,146900,0,0,0,OK
3.734,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.015,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.234,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.5,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.703,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
5.0,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
5.234,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
5.484,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
5.812,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.047,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.218,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.5,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.75,TraderOne,Tick,0,0,0,0,147200,146700,0,0,0,OK
7.0,TraderOne,Tick,0,0,0,0,147200,146900,0,0,0,OK
7.234,TraderOne,Tick,0,0,0,0,147200,146900,0,0,0,OK
7.547,TraderOne,Tick,0,0,0,0,147200,146900,0,0,0,OK
7.703,TraderOne,Tick,0,0,0,0,147200,146900,0,0,0,OK
8.0,TraderOne,Tick,0,0,0,0,147200,146900,0,0,0,OK
8.234,TraderOne,Tick,0,0,0,0,147000,146900,0,0,0,OK
8.468,TraderOne,Tick,0,0,0,0,147000,146900,0,0,0,OK
8.765,TraderOne,Tick,0,0,0,0,147000,146900,0,0,0,OK
9.047,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
9.312,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
9.531,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
9.75,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
10.047,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
10.25,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
10.5,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
10.718,TraderOne,Tick,0,0,0,0,146400,147000,0,0,0,OK
10.953,TraderOne,Tick,0,0,0,0,147300,147000,0,0,0,OK
11.265,TraderOne,Tick,0,0,0,0,147300,147000,0,0,0,OK
